title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
Here and Now,"['Dark comedy [1]', 'Drama']",Alan Ball,,,,"['Holly Hunter', 'Tim Robbins', 'Daniel Zovatto', 'Jerrika Hinton', 'Raymond Lee', 'Sosie Bacon', 'Joe Williamson', 'Andy Bean', 'Peter Macdissi']",,Michael Penn,United States,English,1,10 ( list of episodes ),"['Alan Ball', 'Peter Macdissi', 'David Knoller']",,,,,,52-59 minutes,"['Your Face Goes Here Entertainment', 'HBO Entertainment']",,HBO,16:9 HDTV,,"February 11 ( 2018-02-11 ) – April 15, 2018 ( 2018-04-15 )",,,,,,,,,Steve Oster,,,,,,,,,,,,,,,
Succession,"['Comedy drama [1] [2]', 'Black comedy [3]', 'Family drama [4]', 'Satire [5] [6]', 'Tragicomedy [7]']",Jesse Armstrong,,,,"['Hiam Abbass', 'Nicholas Braun', 'Brian Cox', 'Kieran Culkin', 'Peter Friedman', 'Natalie Gold', 'Matthew Macfadyen', 'Alan Ruck', 'Sarah Snook', 'Jeremy Strong', 'Rob Yang', 'Dagmara Domińczyk', 'Arian Moayed', 'J. Smith-Cameron', 'Justine Lupe', 'David Rasche', 'Fisher Stevens', 'Alexander Skarsgård']",,Nicholas Britell,United States,English,4,39,"['Jesse Armstrong', 'Will Ferrell', 'Adam McKay', 'Frank Rich', 'Kevin Messick', 'Mark Mylod', 'Jane Tranter', 'Georgia Pritchett', 'Tony Roche', 'Scott Ferguson', 'Jon Brown', 'Lucy Prebble', 'Will Tracy']","['Regina Heyman', 'Dara Schnapper', 'Jonathan Filley', 'Ron Bozman', 'Gabrielle Mahon']","['United States', 'England (seasons 1–2)', 'Iceland (season 2)', 'Croatia (season 2)', 'Scotland (season 2)', 'Italy (season 3)', 'Norway (season 4)', 'Barbados (season 4)']","['Andrij Parekh', 'Patrick Capone', 'Christopher Norr', 'Katelin Arizmendi']","['Mark Yoshikawa', 'Ken Eluto', 'Jane Rizzo', 'Anne McCabe', 'Joe Giganti', 'Suzy Elmiger', 'William Henry', 'Ellen Tam', 'Brian A. Kates']",Single camera,56–88 minutes,"['HBO Entertainment', 'Gary Sanchez Productions', 'Hyperobject Industries (season 2–4)', 'Project Zeus']",,HBO,"['1080i ( HDTV )', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['5.1 surround', 'Dolby Atmos [a]']","June 3, 2018 ( 2018-06-03 ) – May 28, 2023 ( 2023-05-28 )",,,,""" Succession (Main Title Theme) """,,,,,,,,,,,,,,,,,,,,
Gentleman Jack,Historical drama,Sally Wainwright,,Sally Wainwright,,"['Suranne Jones', 'Sophie Rundle']",,,"['United Kingdom', 'United States']",English,,16 ( list of episodes ),"['Sally Wainwright', 'Suranne Jones', 'Faith Penhale', 'Laura Lankester']",,,"['Matt Gray', 'Nick Dance', 'Simon Chapman']",,"['Arri Alexa Mini', 'Cooke Anamorphic/i', 'S2/S3 Panchro']",60 minutes [a],,,"['BBC One', 'HBO']",2:1 HDTV,Stereo,22 April 2019 ( 2019-04-22 ) – 13 June 2022 ( 2022-06-13 ),,,,,Murray Gold,,Lookout Point,,Phil Collinson,United Kingdom,,2,,,,,"""Gentleman Jack"" by O'Hooley & Tidow [1]",,,,,,,
His Dark Materials,"['Adventure', 'Fantasy drama', 'Mystery']",,His Dark Materials by Philip Pullman,Jack Thorne,,"['Dafne Keen', 'Ruth Wilson', 'Anne-Marie Duff', 'Clarke Peters', 'James Cosmo', 'Ariyon Bakare', 'Will Keen', 'Lucian Msamati', 'Gary Lewis', 'Lewin Lloyd', 'Daniel Frogson', 'James McAvoy', 'Georgina Campbell', 'Lin-Manuel Miranda', 'Ruta Gedmintas', 'Lia Williams', 'Amir Wilson', 'Nina Sosanya', 'Jade Anouka', 'Sean Gilder', 'Simone Kirby', 'Andrew Scott', 'Adewale Akinnuoye-Agbaje', 'Jonathan Aris', 'Chipo Chung', 'Simon Harrison', 'Kobna Holdbrook-Smith', 'Jamie Ward', 'Amber Fitzgerald-Woolfe', 'Sian Clifford', 'Alex Hassell']",,Lorne Balfe,"['United Kingdom', 'United States']",English,,23 ( list of episodes ),"['Jane Tranter', 'Dan McCulloch', 'Otto Bathurst', 'Carolyn Blackwood', 'Joel Collins', 'Toby Emmerich', 'Deborah Forte', 'Julie Gardner', 'Tom Hooper', 'Ben Irving', 'Philip Pullman', 'Ryan Rasmussen', 'Jack Thorne']",,,Justin Brown,"['Niven Howie', 'Nick Arthurs', 'Dan Roberts', 'Chris Gill', 'David Fisher']",,47–59 minutes,"['Bad Wolf', 'New Line Productions', 'Scholastic']",,"['BBC One (United Kingdom)', 'HBO (United States)']","['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]', 'Stereo']",3 November 2019 ( 2019-11-03 ) – 18 December 2022 ( 2022-12-18 ) [b],,,,,,,,,Laurie Borg,,,3,,,,,,,,,,,,
Lovecraft Country,"['Period drama', 'Supernatural horror [1]', 'Science fiction']",,Lovecraft Country by Matt Ruff,,,"['Jurnee Smollett', 'Jonathan Majors', 'Aunjanue Ellis', 'Courtney B. Vance', 'Wunmi Mosaku', 'Abbey Lee', 'Jamie Chung', 'Jada Harris', 'Michael K. Williams']",,,United States,English,1,10,"['Misha Green', 'J. J. Abrams', 'Jordan Peele', 'Yann Demange', 'David Knoller (pilot)', 'Bill Carraro', 'Ben Stephenson', 'Daniel Sackheim']","['Christina Varotsis', 'Dana Robin']",,"['Tat Radcliffe', 'Robert McLachlan', 'Michael Watson']","['Marta Evry', 'Chris Wyatt', 'Joel T. Pashby', 'Bjørn T. Myrholt', 'Ian S. Tan', 'Sean Albertson', 'Paul Harb']",Single-camera,53–68 minutes,"['Afemme', 'Monkeypaw Productions', 'Bad Robot Productions', 'Warner Bros. Television Studios']",,HBO,"['HDTV 1080p', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Digital 5.1', 'Dolby Atmos [a]']","August 16 ( 2020-08-16 ) – October 18, 2020 ( 2020-10-18 )",,,Laura Karpman and Raphael Saadiq,,,,,,,,,,,,Misha Green,,""" Sinnerman "" by Alice Smith",,,,,,,
The Nevers,"['Drama', 'Science fiction', 'Historical fiction', 'Steampunk']",Joss Whedon,,,,"['Laura Donnelly', 'Ann Skelly', 'Olivia Williams', 'James Norton', 'Tom Riley', 'Pip Torrens', ""Denis O'Hare"", 'Rochelle Neil', 'Amy Manson', 'Zackary Momoh', 'Eleanor Tomlinson', 'Nick Frost', 'Elizabeth Berrington', 'Viola Prettejohn', 'Anna Devlin', 'Kiran Sonia Sawar', 'Ben Chaplin', 'Ella Smith', 'Vinnie Heaven']",,Mark Isham,United States,English,1,12,"['Joss Whedon', 'Bernadette Caulfield', 'Jane Espenson', 'Douglas Petrie', 'Ilene S. Landress', 'Philippa Goslett']",,,,,,54–64 minutes,"['Mutant Enemy Productions', 'HBO Entertainment']",,"['HBO (2021)', 'Tubi (2023)']",,,"April 11, 2021 ( 2021-04-11 ) – February 15, 2023 ( 2023-02-15 )",,,,,,,,,,London,,,,,,,,,,,,,,
The Time Traveler's Wife,"['Romance [1]', 'Science fiction [1]', 'Drama [1]']",,The Time Traveler's Wife by Audrey Niffenegger,Steven Moffat,David Nutter,"['Rose Leslie', 'Theo James']",,,"['United States', 'United Kingdom']",English,1,6,"['Steven Moffat', 'Sue Vertue', 'Brian Minchin', 'David Nutter']","['Sarah Rath', 'Patty Willett']",,Peter Menzies Jr.,"['Paul Karasick', 'Susan Vaill']",,45–56 minutes [2] [3],"['Warner Bros. Television', 'Hartswood Films', 'New Line Cinema']",,HBO,,,"May 15 ( 2022-05-15 ) – June 19, 2022 ( 2022-06-19 )",,,Blake Neely,,,,,,,,,,,,Steven Moffat,,,,,,,,,
Not Necessarily the News,,,,,,,,,United States,,8,72,,,,,,,30 minutes,,,HBO,,,"January 3, 1983 ( 1983-01-03 ) – August 26, 1990 ( 1990-08-26 )",,,,,,,,,,,,,,,,,,,,,,,,
1st & Ten,"['Comedy', 'Sports']",Carl Kleinschmitt,,,,"['Delta Burke', 'O. J. Simpson', 'Shannon Tweed', 'John Matuszak', 'Jason Beghe', 'Geoffrey Scott', 'Keith Amos', 'Paul Tuerpe', 'Prince Hughes', 'Shanna Reed', 'Reid Shelton']",,,United States,,6,80,"['Donald Kushner', 'Peter Locke']",,,,,Single-camera,25 minutes,,,HBO,,,"December 2, 1984 ( 1984-12-02 ) – January 23, 1991 ( 1991-01-23 )",,,,,,,The Kushner-Locke Company,,,,,,,,,,,,,,,,,
The Kids in the Hall,,,,,,"['Dave Foley', 'Bruce McCulloch', 'Kevin McDonald', 'Mark McKinney', 'Scott Thompson']",,Shadowy Men on a Shadowy Planet,Canada,,6,109 ( list of episodes ),,"['Lorne Michaels', 'Joe Bodolai']",,,,,25 minutes,,,"['CBC Television', 'HBO', 'CBS', 'Amazon Prime Video']",,,"['April 15, 1995 ( 1995-04-15 ) (original series)', 'May 13, 2022 ( 2022-05-13 ) (revival)']",,,,"""Having an Average Weekend"", performed by Shadowy Men on a Shadowy Planet",,,Broadway Video,,,,,,,,,,,,,,,,,
The Baby-Sitters Club,Children's television series,,The Baby-Sitters Club by Ann M. Martin,"['Jeanne Betancourt', 'Ann M. Martin', 'Mary Pleshette Willis']","['Noel Black', 'Lynn Hamrick']","['Meghan Andrews', 'Melissa Chasse', 'Jeni F. Winslow', 'Avriel Hillman', 'Meghan Lahey', 'Nicole Leach', 'Jessica Prunell']",,Glen Roven,United States,English,1,13,,,,Nancy Schreiber,,,27 minutes,"['Amber Films, Ltd.', 'Scholastic Productions']",,HBO,,,"January 1 ( 1990-01-01 ) – March 26, 1990 ( 1990-03-26 )",,,,"""Say Hello to Your Friends""",,,,,Tina Stern,,,,,,,,"""Say Hello to Your Friends""",,,,,,,
Dream On,Sitcom,"['Marta Kauffman', 'David Crane']",,,,"['Brian Benben', 'Chris Demetral', 'Denny Dillon', 'Wendie Malick', 'Dorien Wilson', 'Michael McKean']",,Michael Skloff,United States,English,6,120 ( list of episodes ),"['Kevin Bright', 'John Landis']","['David Crane', 'Jeff Greenstein', 'Robb Idels', 'Marta Kauffman', 'Jeff Strauss', 'Ron Wolotzky']",,,,Single camera,30 min,"['Kevin Bright Productions', 'St. Clare Entertainment', 'MCA Television Entertainment']",,"['HBO (1990–1996)', 'Fox (1995) (edited)']",,Stereophonic sound,"July 8, 1990 ( 1990-07-08 ) – March 27, 1996 ( 1996-03-27 )",,,,,Michael Skloff,,,,,,,,,,,,,,,,,,,
The Larry Sanders Show,Sitcom Satire,"['Garry Shandling', 'Dennis Klein']",,,,"['Garry Shandling', 'Jeffrey Tambor', 'Megan Gallagher', 'Wallace Langham', 'Jeremy Piven', 'Penny Johnson', 'Linda Doucett', 'Janeane Garofalo', 'Rip Torn', 'Kathryn Harrold', 'Scott Thompson', 'Mary Lynn Rajskub']",,Frank Fitzpatrick,United States,English,6,90 ( list of episodes ),"['Garry Shandling', 'Brad Grey', 'Paul Simms', 'Peter Tolan', 'Fred Barron']",,,"['Peter Smokler', 'Christian Santiago']",,Single-camera,21–26 minutes,"['Partners with Boundaries Productions', 'Brillstein-Grey Entertainment', 'HBO Entertainment', 'Columbia Pictures Television']",,HBO,,,"August 15, 1992 ( 1992-08-15 ) – May 31, 1998 ( 1998-05-31 )",,,,,,,,,,,,,,,,,,,,,,,,
Mr. Show with Bob and David,,Bob Odenkirk David Cross,,,,Bob Odenkirk David Cross John Ennis Tom Kenny Jill Talley Jay Johnston,,,United States,,4,30 ( list of episodes ),David Cross Troy Miller Bob Odenkirk John Moffitt Dino Stamatopoulos Brad Grey Bernie Brillstein,Bill Odenkirk Jay Johnston,,,,,30 minutes,Brillstein-Grey Communications Dakota North Entertainment TriStar Television (1st season) HBO Original Programming,,HBO,,,"November 3, 1995 ( 1995-11-03 ) – December 28, 1998 ( 1998-12-28 )",,Mark Rivers Eban Schletter,,,Mark Rivers,,,,,,,,,,,,,,,,,,,
Arliss,"['Comedy', 'Sports']",Robert Wuhl,,,,"['Robert Wuhl', 'Sandra Oh', 'Jim Turner', 'Michael Boatman']",,Ed Smart,United States,English,7,80 ( list of episodes ),,,,,,Single-camera,30 minutes,"['Tollin/Robbins Productions (1996–1998)', 'Marquee/Tollin/Robbins (1998–2002)']",,HBO,,,"August 10, 1996 ( 1996-08-10 ) – September 8, 2002 ( 2002-09-08 )",,,,""" I Can't Help Myself "" by The Four Tops (season 1) "" I Only Want To Be With You "" by Dusty Springfield (seasons 2–7)",,,,,,,,,,,,,,,,,,,,
The High Life,,Adam Resnick,,,,Mark Wilson Ernie Grunwald Robert Joy Betsy Aidem Duke Moosekian,,John Colby,United States,English,1,8 ( list of episodes ),,,,,,Single-camera (videotape),30 minutes,,,HBO,,,"November 9 ( 1996-11-09 ) – December 18, 1996 ( 1996-12-18 )",,,,,,,Worldwide Pants Incorporated,,,,,,,,,,,,,,,,,
Tracey Takes On...,Sketch comedy,"['Tracey Ullman', 'Allan McKeown']",,,,Tracey Ullman,,,United States,,4,65 ( list of episodes ),"['Allan McKeown', 'Tracey Ullman']","['Jamie Lynn Arsenault Kevin Berg Jerry Belson Dick Clement Carey Dietrich Kim Fuller Robert Klane Jenji Kohan Ian La Frenais Stephanie Laing George McGrath Allan McKeown Sandra McKerroll Molly Newman Gail Parent Thomas Schlamme Tony Sheehan Tom Sherren Tracey Ullman Allen J. Zipper', 'Jamie Lynn Arsenault', 'Kevin Berg', 'Jerry Belson', 'Dick Clement', 'Carey Dietrich', 'Kim Fuller', 'Robert Klane', 'Jenji Kohan', 'Ian La Frenais', 'Stephanie Laing', 'George McGrath', 'Allan McKeown', 'Sandra McKerroll', 'Molly Newman', 'Gail Parent', 'Thomas Schlamme', 'Tony Sheehan', 'Tom Sherren', 'Tracey Ullman', 'Allen J. Zipper']","['Los Angeles, California', 'The Culver Studios (Season 3)']","['Lucas Bielan', 'Mauro Fiore', 'Nicola Pecorini']","['Tammis Chandler', 'Barry Dresner', 'Scott Gamzon', 'Simeon Hutner']",Single-camera,22–28 minutes,"['Home Box Office', 'Takes On Productions, Inc.', 'Witzend Productions']",,HBO,NTSC,Dolby Surround,"January 24, 1996 ( 1996-01-24 ) – March 17, 1999 ( 1999-03-17 )",,"['Richard Gibbs', 'Philip Giffin', 'Steve Hampton', 'Randy Kerber']",,""" They Don't Know "" (Seasons 2–4)",,,,,,,,,,,,,,,,,,,,
Tenacious D,,"['Jack Black', 'David Cross', 'Kyle Gass', 'Bob Odenkirk']",,,,"['Jack Black', 'Kyle Gass']",,,United States,English,,3,"['David Cross', 'Bob Odenkirk', 'Jack Black', 'Kyle Gass', 'Troy Miller']","['Thomas Sherren (episodes 2–3)', 'Tom Gianas']","Silvercup Studios , Los Angeles",,,Single camera,21–26 minutes,"['Dakota North Entertainment Inc.', 'HBO Original Programming']",,HBO,NTSC,Stereo,"November 28, 1997 ( 1997-11-28 ) – March 15, 2000 ( 2000-03-15 )",Steve Welch,,,,,,,,,,,,,,,,,,,,,,,
Sex and the City,"['Romantic comedy', 'Comedy drama', 'Sex comedy']",Darren Star,Sex and the City by Candace Bushnell,,,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon']",Sarah Jessica Parker,,United States,English,6,94 ( list of episodes ),"['Darren Star', 'Michael Patrick King', 'John P. Melfi', 'Jenny Bicks', 'Sarah Jessica Parker', 'Cindy Chupack']","['Jane Raab', 'Antonia Ellis', 'Julie Rottenberg', 'Elisa Zuritsky']",,,"['Michael Berenbaum', 'Wendey Stanzler', 'Kate Sanford']",Single-camera,"['25 minutes (seasons 1–2)', '30 minutes (seasons 3–6)']","['Darren Star Productions', 'HBO Entertainment']",,HBO,"['NTSC (original broadcast)', 'HDTV 1080p (2021 remaster)', '4K UHDTV HDR [a]', 'Dolby Vision [a]']","['Dolby Surround (1998–2002)', 'Stereo (2003–2004)', '5.1 surround sound (2021 remaster)', 'Dolby Atmos [a]']","June 6, 1998 ( 1998-06-06 ) – February 22, 2004 ( 2004-02-22 )",,"['Douglas J. Cuomo (1998–1999)', 'Bob Christianson (2000–2004)']",,"""Sex and the City Theme""","['Douglas J. Cuomo', 'Tom Findlay']",,,,,New York City,,,,,,,,,,,,,,
The Mind of the Married Man,,,,,,Mike Binder Sonya Walger Jake Weber Ivana Miličević,,,United States,,2,20 ( list of episodes ),,,,,,,30 minutes,Comedy Arts Studios 3 Arts Entertainment Sunlight Productions HBO Entertainment,,HBO,,,"September 23, 2001 ( 2001-09-23 ) – November 17, 2002 ( 2002-11-17 )",,,,,,,,,,,,,,,,,,,,,,,,
Da Ali G Show,,Sacha Baron Cohen,,,,Sacha Baron Cohen,,,United Kingdom,,3,18 ( list of episodes ),,,,,,,30 minutes,,,"['Channel 4 (2000)', 'HBO (2003–2004)']","['PAL (2000)', 'NTSC (2003-2004)']",,30 March 2000 ( 2000-03-30 ) – 22 August 2004 ( 2004-08-22 ),,,,,,,Talkback,,,,,,,,,,,,,,,,,
Entourage,Comedy drama,Doug Ellin,,,,"['Kevin Connolly', 'Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara', 'Jeremy Piven', 'Debi Mazar', 'Perrey Reeves', 'Rex Lee', 'Rhys Coiro', 'Gary Cole', 'Emmanuelle Chriqui', 'Scott Caan']",,,United States,English,8,96 ( list of episodes ),"['Doug Ellin', 'Mark Wahlberg', 'Stephen Levinson', 'Larry Charles', 'Rob Weiss', 'Denis Biggs', 'Ally Musika']",,,,,Single-camera,21–35 minutes,Leverage Entertainment Closest to the Hole Productions Fly the Coop Entertainment (season 8) HBO Entertainment,,HBO,NTSC (seasons 1–2) HDTV 1080i (seasons 3–8),,"July 18, 2004 ( 2004-07-18 ) – September 11, 2011 ( 2011-09-11 )",,,,"""Superhero"" by Jane's Addiction",,,,,,,,,,,,,,,,,,,,
The Comeback,Cringe comedy [1] Satire Mockumentary [a],Lisa Kudrow Michael Patrick King,,,,Lisa Kudrow Malin Åkerman Robert Bagnell Lance Barber Robert Michael Morris Laura Silverman Damian Young,,,United States,,2,21 ( list of episodes ),John Melfi (2005) Michael Patrick King Lisa Kudrow Dan Bucatinsky,,,,,Single camera,25–55 minutes,Working Class Films ( s. 1) Michael Patrick King Product-ions (season 2) Is or Isn't Entertainment Warner Bros. Television,,HBO,,,"June 5, 2005 ( 2005-06-05 ) – December 28, 2014 ( 2014-12-28 )",,,,,,,,,,,,,,,,,,,,,,,,
Extras,Sitcom,Ricky Gervais Stephen Merchant,,Ricky Gervais Stephen Merchant,Ricky Gervais Stephen Merchant,Ricky Gervais Ashley Jensen Stephen Merchant Shaun Williamson Shaun Pye,,,United Kingdom,English,,13 ( list of episodes ),,,,,,Single camera,30 mins (regular episodes) 90 mins (special),,,BBC Two (UK) (series 1–2) BBC One (UK) (special) HBO (U.S.),576i ( PAL ) (series 1–2) 1080i ( HDTV ) (special),,21 July 2005 ( 2005-07-21 ) – 27 December 2007 ( 2007-12-27 ),,,,,,,,,,,,2,,,,,""" Tea for the Tillerman "" by Cat Stevens",,,,,,,
Unscripted,,,,,George Clooney Grant Heslov,Krista Allen Bryan Greenberg Jennifer Hall Frank Langella,,,United States,English,1,10,Grant Heslov George Clooney Steven Soderbergh,Joanne Toll Michael Hissrich Tommy Hinkley Grant Heslov Matt Adler,,Tom Inskeep,Chris Figler James Haygood Kristofer Lindquist Rob Seidenglanz,,22-26 minutes,Section Eight Warner Brothers HBO,,HBO,,,"January 9 ( 2005-01-09 ) – February 27, 2005 ( 2005-02-27 )",,,,,,,,,,"Los Angeles, California",,,,,,,,,,,,,,
Lucky Louie,Sitcom Slice of life,Louis C.K.,,,,Louis C.K. Pamela Adlon Kelly Gould Mike Hagerty Jim Norton Laura Kightlinger Rick Shapiro Jerry Minor Kim Hawthorne,,Mark Rivers,United States,English,1,13 (1 unaired) [1] ( list of episodes ),Louis C.K. Mike Royce Vic Kaplan Dave Becky,,,Bruce L. Finn,,Multi-camera,21-30 minutes,Circus King 3 Arts Entertainment Snowpants Productions HBO Entertainment HBO Independent Productions,,HBO,,,"June 11 ( 2006-06-11 ) – August 27, 2006 ( 2006-08-27 )",Brian Schnuckel,,,,,,,,Leo Clarke,,,,,,,,,,,,,,,
Flight of the Conchords,"['Musical', 'Comedy']","['James Bobin', 'Jemaine Clement', 'Bret McKenzie']",,,,"['Jemaine Clement', 'Bret McKenzie', 'Rhys Darby', 'Kristen Schaal', 'Arj Barker']",,,United States,English,2,22 ( list of episodes ),"['James Bobin', 'Stu Smiley', 'Troy Miller']",,,,,Single camera,26 minutes,,,HBO,NTSC (2007) HDTV 1080i (2009),,"June 17, 2007 ( 2007-06-17 ) – March 22, 2009 ( 2009-03-22 )",,,,,,,Dakota Pictures,,Anna Dokoza,New York City,,,,,,,,,,,,,,
Little Britain USA,,Ben Silverman David Walliams Matt Lucas Simon Fuller,,David Walliams Matt Lucas,Michael Patrick Jann David Schwimmer,David Walliams Matt Lucas,Tom Baker,,United States,English,1,6 ( list of episodes ),Michael Patrick Jann Larry Brezner David Steinberg Simon Fuller,,"Los Angeles and Wilmington, North Carolina",,,,30 minutes,19 Entertainment [1] MBST HBO Entertainment,,HBO,,,"September 28 ( 2008-09-28 ) – November 2, 2008 ( 2008-11-02 )",,,,,,,,,Stephanie Laing,,,,,,,,,,,,,,,
Bored to Death,Comedy Detective dramedy Crime Mystery Neo-noir,Jonathan Ames,,,,Jason Schwartzman Zach Galifianakis Ted Danson Heather Burns,,,United States,,3,24 ( list of episodes ),"['Jonathan Ames', 'Sarah Condon', 'Stephanie Davis', 'Dave Becky', 'Troy Miller', 'Tracey Baird']",,,,,,approx. 26 minutes,"['Dakota Pictures', '3 Arts Entertainment', 'Fair Harbor Productions', 'HBO Entertainment']",,HBO,,,"September 20, 2009 ( 2009-09-20 ) – November 28, 2011 ( 2011-11-28 )",,,,"""Bored to Death"" by Coconut Records",,,,,,,,,,,,,,,,,,,,
Eastbound & Down,Sports comedy,"['Ben Best', 'Jody Hill', 'Danny McBride']",,,,"['Danny McBride', 'Steve Little', 'Katy Mixon', 'John Hawkes', 'Jennifer Irwin', 'Andrew Daly', 'Ben Best', 'Ana de la Reguera', 'Michael Peña', 'Marco Rodríguez', 'Efren Ramirez', 'Elizabeth De Razzo', 'Ken Marino', 'Tim Heidecker', 'Jillian Bell']",,,United States,English,4,29 ( list of episodes ),"['Will Ferrell', 'Adam McKay', 'Chris Henchy', 'Jody Hill', 'Danny McBride', 'Ben Best', 'Stephanie Laing', 'David Gordon Green']",,,,,,30 minutes [1],Gary Sanchez Productions Rough House Pictures Enemy MIGs Productions,,HBO,,,"February 15, 2009 ( 2009-02-15 ) – November 17, 2013 ( 2013-11-17 )",,"['Wayne Kramer', 'Joseph Stephens']",,,,,,,Stephanie Laing,,,,,,,,,,,,,,,
Hung,Comedy drama,Colette Burson Dmitry Lipkin,,,,Thomas Jane Jane Adams Anne Heche Eddie Jemison Sianoa Smit-McPhee Charlie Saxton Rebecca Creskoff Gregg Henry Lennie James Stephen Amell,,,United States,English,3,30 ( list of episodes ),Colette Burson Dmitry Lipkin Alexander Payne Michael Rosenberg Noreen Halpern John Morayniss,,,,,,28 minutes,Tennessee Wolf Pack E1 Entertainment (2009–10) Entertainment One (2011) HBO Entertainment,,HBO,,,"June 28, 2009 ( 2009-06-28 ) – December 4, 2011 ( 2011-12-04 )",,,,"""I'll Be Your Man"" by The Black Keys",,,,,,,,,,,,,,,,,,,,
The No. 1 Ladies' Detective Agency,Comedy drama,Richard Curtis Anthony Minghella,The No. 1 Ladies' Detective Agency by Alexander McCall Smith,Richard Curtis Nicholas Wright Robert Jones,Anthony Minghella Charles Sturridge Tim Fywell,Jill Scott Anika Noni Rose Lucian Msamati Desmond Dube,,,United Kingdom United States,,,7,Bob Weinstein Harvey Weinstein Anthony Minghella Sydney Pollack Richard Curtis Amy J. Moore,,,Seamus McGarvey Giulio Biccari,,,109 minutes (pilot) 56-58 minutes (regular episodes),,,BBC One / BBC HD (UK) HBO (USA),1080i ( HDTV ),,23 March 2008 ( 2008-03-23 ) – 19 April 2009 ( 2009-04-19 ),,,Gabriel Yared,,,,,,Timothy Bricknell,Botswana,English Tswana,1,,,,,,,,,,,,
Funny or Die Presents,Comedy,Will Ferrell Adam McKay Andrew Steele Judd Apatow,,,Matt Piedmont Jason Woliner Neal Brennan Ruben Fleischer Jeremy Konner,Steve Tom,,,United States,English,2,22 ( list of episodes ),Will Ferrell Adam McKay Andrew Steele,,,,,,,Funnyordie.com Gary Sanchez Productions Apatow Productions,,HBO,,,"February 19, 2010 ( 2010-02-19 ) – March 18, 2011 ( 2011-03-18 )",,,,,,,,,,,,,,,,,,,,,,,,
How to Make It in America,,Ian Edelman,,,,Bryan Greenberg Victor Rasuk Scott Mescudi Lake Bell Luis Guzmán Eddie Kaye Thomas Shannyn Sossamon,,,United States,English,2,16 ( list of episodes ),Mark Wahlberg Stephen Levinson Rob Weiss Julian Farino Jada Miranda Ian Edelman,,,,,,24–30 minutes,HBO Entertainment Leverage Entertainment Closest to the Hole Productions Big Meyer,,HBO,1080i ( 16:9 HDTV ),,"February 14, 2010 ( 2010-02-14 ) – November 20, 2011 ( 2011-11-20 )",,,,""" I Need a Dollar "" by Aloe Blacc",,,,,Joseph Zolfo,,,,,,,,,,,,,,,
Enlightened,Comedy drama,Mike White Laura Dern,,Mike White,,Laura Dern Luke Wilson Diane Ladd Sarah Burns Timm Sharp Mike White,Laura Dern,,United States,English,2,18 ( list of episodes ),Mike White Laura Dern Scott Stephens,David Bernad Jason Weinberg,,Xavier Pérez Grobet,,,25–30 minutes,,,HBO,,,"October 10, 2011 ( 2011-10-10 ) – March 3, 2013 ( 2013-03-03 )",,"Mark Mothersbaugh Carter Burwell (""Pilot"")",,,,,Rip Cord Productions,,,Los Angeles,,,,,,,,,,,,,,
Girls,Comedy drama Cringe comedy,Lena Dunham,,,,"['Lena Dunham', 'Allison Williams', 'Jemima Kirke', 'Zosia Mamet', 'Adam Driver', 'Alex Karpovsky', 'Andrew Rannells', 'Ebon Moss-Bachrach', 'Jake Lacy']",,Michael Penn,United States,English,6,62 ( list of episodes ),"['Lena Dunham', 'Judd Apatow', 'Jenni Konner', 'Ilene S. Landress', 'Bruce Eric Kaplan']","['Peter Phillips', 'Dan Sterling']",,,"['Robert Franzen', 'Catherine Haight']",Single-camera,26–41 minutes,"['Apatow Productions', 'I Am Jenni Konner Productions', 'HBO Entertainment']",,HBO,1080i ( 16:9 HDTV ),Dolby Digital 5.1,"April 15, 2012 ( 2012-04-15 ) – April 16, 2017 ( 2017-04-16 )",,,,,,,,,,,,,,,,,,,,,,,,
Life's Too Short,,Warwick Davis Ricky Gervais Stephen Merchant,,Ricky Gervais Stephen Merchant,Ricky Gervais Stephen Merchant,Warwick Davis Ricky Gervais Stephen Merchant Jo Enright,,,United Kingdom,English,,7 (+1 special),Ricky Gervais Stephen Merchant Mark Freeland,,,,,Single-camera,28 minutes 58 minutes (2013 special),,,BBC Two,,,10 November 2011 ( 2011-11-10 ) – 30 March 2013 ( 2013-03-30 ),,,,,,,,,,,,1,,,,,,,,,,,,
