title,Genre,Created by,Based on,Written by,Directed by,Starring,Narrated by,Composer,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Producers,Production locations,Cinematography,Editors,Camera setup,Running time,Production companies,Budget,Original network,Picture format,Audio format,Original release,Editor,Composers,Music by,Opening theme,Theme music composer,Story by,Production company,Presented by,Producer,Production location,Original languages,No. of series,Also known as,Screenplay by,Developed by,Executive producer,Ending theme,Voices of,Produced by,Edited by,Distributed by,Release date,Countries,Language
We're Here,Reality television,"['Stephen Warren', 'Johnnie Ingram']",,,,"['Bob the Drag Queen', ""Eureka O'Hara"", 'Shangela']",,,United States,English,3,20,"['Stephen Warren', 'Johnnie Ingram', 'Peter LoGreco', 'Eli Holzman', 'Aaron Saidman', 'Erin Gamble']",,,,,,,HBO Entertainment House of Opus 20 The Intellectual Property Corporation,,HBO,,,"April 23, 2020 ( 2020-04-23 ) – present ( present )",,,,"""I Am America"" by Shea Diamond",,,,,,,,,,,,,,,,,,,,
Real Time with Bill Maher,,Bill Maher,,Bill Maher Scott Carter Adam Felber,,,,,United States,English,21,"633 (as of April 28, 2023) ( list of episodes )",,,"Television City , Fairfax District , Los Angeles , California , United States",,,,60 minutes,Bill Maher Productions (2008–present) (season 6-present) Brad Grey Television Home Box Office,,HBO,NTSC (2003–07) HDTV 1080i (2008–present),,"February 21, 2003 ( 2003-02-21 ) – present ( present )",,,,,"Scott ""Shavoni"" Parker Louis ""Buster"" Brown II Christopher ""Kid"" Reid [1]",,,Bill Maher,,,,,,,,,,,,,,,,
Last Week Tonight with John Oliver,"['News satire', 'Political satire', 'Talk show']",John Oliver,,,"['Joe Perota', 'Christopher Werner', 'Jim Hoskinson', 'Paul Pennolino', 'Bruce Leddy']",,David Kaye,,United States,English,10,279 ( list of episodes ),"['John Oliver', 'Tim Carvell', 'Liz Stanton', 'James Taylor', 'Jon Thoday']",,"CBS Broadcast Center New York, New York",,,,30–45 minutes [3],"['HBO Entertainment', 'Avalon Television', 'Partially Important Productions']",,HBO,1080i ( 16:9 HDTV ),Dolby Surround,"April 27, 2014 ( 2014-04-27 ) – present ( present )",,,,"""Go"" by Valley Lodge [1] [2]",,,,John Oliver,,,,,Last Week Tonight,,,,,,,,,,,
Real Sports with Bryant Gumbel,,,,,,,,,United States,English,26,284,,,,,,,,,,HBO,,,"April 2, 1995 ( 1995-04-02 ) – present",,,,,,,,Bryant Gumbel,,,,,,,,,,,,,,,,
Hard Knocks,,Marty Callner,,,,Baltimore Ravens (2001) Dallas Cowboys (2002) Kansas City Chiefs (2007) Dallas Cowboys (2008) Cincinnati Bengals (2009) New York Jets (2010) Miami Dolphins (2012) Cincinnati Bengals (2013) Atlanta Falcons (2014) Houston Texans (2015) Los Angeles Rams (2016) Tampa Bay Buccaneers (2017) Cleveland Browns (2018) Oakland Raiders (2019) Los Angeles Rams and Los Angeles Chargers (2020) Dallas Cowboys (2021) Indianapolis Colts (2021 In-Season) Detroit Lions (2022) Arizona Cardinals (2022 In-Season),Liev Schreiber (2001–2002 & 2008–present) Paul Rudd (2007),Dave Robidoux,United States,English,17,"90 (6 in 2001 and 2002, 5 in each season from 2007 on, 9 in 2021 In-Season)",Steve Sabol Rick Bernstein Ross Greenburg Marty Callner,Ken Rodgers Keith Cossrow,,,,,~55 minutes (commercial-free),,,HBO,NTSC HDTV 1080i,Stereo Dolby Digital 5.1,2001 ( 2001 ) – present,,,,,,,,,,Varies,,,,,HBO Sports NFL Films,,,,,,,,,
The Shop,Talk show,Paul Rivera,,,,LeBron James Maverick Carter,,,United States,English,6,30,"['LeBron James', 'Maverick Carter', 'Peter Nelson', 'Rick Bernstein']",,,,,,30 minutes,,,"['HBO (seasons 1–4)', 'YouTube (season 5–present)']",1080p,,"August 28, 2018 ( 2018-08-28 ) – present",,,,,,,,,,,,,,,,,,,,,,,,
The Sympathizer,"['Black comedy', 'Historical drama', 'Spy thriller', 'War drama']",,The Sympathizer by Viet Thanh Nguyen,,,"['Hoa Xuande', 'Fred Nguyen Khan', 'Toan Le', 'Vy Le', 'Alan Trong', 'Duy Nguyễn']",,,"['United States', 'Canada']",English,,,"['Park Chan-wook', 'Don McKellar', 'Robert Downey Jr.', 'Susan Downey', 'Amanda Burrell', 'Niv Fichman', 'Kim Ly', 'Ron Schmidt', 'Viet Thanh Nguyen', 'Jisun Beck']",,"['United States', 'Vietnam']",,,,,"['A24', 'Team Downey', 'Rhombus Media', 'Cinetic Media', 'Moho Film']",,HBO,,,,,,,,,,,,,,,,,,"['Park Chan-wook', 'Don McKellar']",,,,,,,,,
The Regime,,,,Will Tracy,"['Stephen Frears', 'Jessica Hobbs']","['Kate Winslet', 'Andrea Riseborough', 'Matthias Schoenaerts', 'Martha Plimpton', 'Guillaume Gallienne', 'Hugh Grant']",,,United Kingdom,English,,,"['Stephen Frears', 'Kate Winslet', 'Frank Rich', 'Tracey Seaward', 'Will Tracy']",,,,,,,,,HBO,,,,,,,,,,['HBO Entertainment'],,,,,,,"['Will Tracy', 'Seth Reiss', 'Juli Weiner', 'Jen Spyra', 'Gary Shteyngart', 'Sarah DeLappe']",,,,,,,,,,
Get Millie Black,,,,Marlon James,Tanya Hamilton,"['Tamara Lawrance', 'Joe Dempsie', 'Gershwyn Eustache Jnr']",,,United Kingdom,English,,,"['Marlon James', 'Simon Maxwell', 'Leopoldo Gout']",,,,,,,,,"['Channel 4', 'HBO']",,,,,,,,,,Motive Pictures,,,,,,,,,,,,,,,,,
"Philip Marlowe, Private Eye","['Mystery', 'Period drama']",,,"['Raymond Chandler', 'Jo Eisinger', 'Jeremy Hole', 'Jesse L. Lasky, Jr.', 'Pat Silver-Lasky', 'Murray Smith', 'Jaron Summers']","['Bryan Forbes', 'Sidney Hayers', 'Peter R. Hunt', 'Robert Iscove', 'Allan King', 'Mark Lavant']",Powers Boothe,,,"['United States', 'United Kingdom']",English,2,11 ( list of episodes ),,"['Jon Slan', 'David Wickes']",,"['Frank Beascoechea', 'Rene Ohashi', 'Michael Reed']","['Bill Lenny', 'Ronald Sanders']",,45–48 minutes,,,"['HBO (US)', 'ITV (UK)']",,Monaural,"April 16, 1983 ( 1983-04-16 ) – June 3, 1986 ( 1986-06-03 )",,"['John Cameron', 'Samuel Matlovsky']",,"""Marlowe's Theme"" by Moe Koffman",,,,,,,,,,,,Gabriel Katzka,,,,,,,,
